,rank_NT->PT,score,prob_NT->PT
BRD-K94173926,9596,-8.463501,2.9109679e-10
BRD-K92847204,9595,-8.393945,3.1206548e-10
BRD-K37194137,9594,-8.251609,3.5980022e-10
BRD-K12811596,9593,-8.243025,3.6290237e-10
BRD-K70416046,9592,-8.085732,4.247179e-10
BRD-K24885102,9591,-7.9418736,4.9043125e-10
BRD-K43638827,9590,-7.905935,5.0837706e-10
BRD-K49258689,9589,-7.894584,5.141803e-10
BRD-K09527783,9588,-7.8816066,5.2089666e-10
BRD-K06217925,9587,-7.835136,5.4567434e-10
BRD-K68038686,9586,-7.8023453,5.638631e-10
BRD-K38805748,9585,-7.54735,7.276418e-10
BRD-K20151898,9584,-7.5398574,7.331138e-10
BRD-K13942440,9583,-7.517054,7.5002254e-10
BRD-K88538023,9582,-7.462358,7.9218915e-10
BRD-K65801064,9581,-7.4519753,8.0045626e-10
BRD-K71448503,9580,-7.4478507,8.037655e-10
BRD-K42427050,9579,-7.4162374,8.295803e-10
BRD-K36654803,9578,-7.404266,8.39572e-10
BRD-K70804088,9577,-7.3882236,8.5314966e-10
BRD-K98150670,9576,-7.3467464,8.8928015e-10
BRD-K89840812,9575,-7.3430367,8.925835e-10
BRD-K55204560,9574,-7.2741666,9.562225e-10
BRD-K98004573,9573,-7.230827,9.985771e-10
BRD-K77608452,9572,-7.2230964,1.0063265e-09
BRD-K48433912,9571,-7.2211127,1.0083246e-09
BRD-K81131579,9570,-7.2010894,1.0287182e-09
BRD-K53293903,9569,-7.179336,1.0513413e-09
BRD-K83836748,9568,-7.1788993,1.0518009e-09
BRD-K05851096,9567,-7.169725,1.0614948e-09
